Date,Price,Open,High,Low,Vol.,Change %
01/16/2024,200.52,210.07,210.98,199.5,35.29M,-7.89%
01/12/2024,217.7,219.97,222.07,217.04,11.29M,-2.23%
01/11/2024,222.66,228.07,228.28,222.62,11.83M,-2.27%
01/10/2024,227.84,226.9,231.61,226.64,12.88M,0.92%
01/09/2024,225.76,225.66,228.79,223.2,20.69M,-1.41%
01/08/2024,229,228,233.85,225.79,40.73M,-8.03%
01/05/2024,249,245.04,250.19,245.04,3.85M,1.66%
01/04/2024,244.94,244.58,248.28,244.18,5.17M,0.42%
01/03/2024,243.91,248.32,250.13,243,7.22M,-3.12%
01/02/2024,251.76,257.28,258.59,250.87,5.82M,-3.41%
12/29/2023,260.66,260.67,262.22,259.56,3.69M,0.12%
12/28/2023,260.35,261.53,262.1,257.68,5.10M,-0.67%
12/27/2023,262.1,262.63,264.66,260.9,3.48M,-0.26%
12/26/2023,262.79,259.8,263.76,259.54,3.94M,0.90%
12/22/2023,260.44,261.83,262.84,259.2,4.43M,-0.60%
12/21/2023,262.02,265.95,267.54,260.19,6.49M,0.68%
12/20/2023,260.25,262.25,266.13,260.15,5.15M,-1.24%
12/19/2023,263.51,261.04,265.34,260.8,6.09M,1.19%
12/18/2023,260.41,260.63,263.13,260.25,6.14M,-1.46%
12/15/2023,264.27,255.7,265.52,255.7,15.00M,3.13%
12/14/2023,256.24,250.91,257.12,249.26,7.88M,2.12%
12/13/2023,250.91,249.1,251.87,247.53,5.51M,0.92%
12/12/2023,248.63,247.95,250.57,247.4,5.72M,0.22%
12/11/2023,248.08,243.5,248.08,243.31,7.55M,1.38%
12/08/2023,244.7,237.32,244.7,237.32,7.17M,3.11%
12/07/2023,237.33,236.9,238.3,230,6.36M,0.19%
12/06/2023,236.89,234.78,239.23,234.43,4.74M,1.17%
12/05/2023,234.16,233.54,234.74,231.49,3.59M,-0.30%
12/04/2023,234.87,231.3,234.94,230.07,5.23M,0.43%
12/01/2023,233.87,231.77,235.38,231.38,6.96M,0.97%
11/30/2023,231.63,225,233,225,8.74M,3.21%
11/29/2023,224.43,223.35,224.99,221.34,5.42M,0.93%
11/28/2023,222.37,222.01,224.8,219.41,7.82M,1.40%
11/27/2023,219.3,218.81,219.53,217.66,3.69M,-0.32%
11/24/2023,220,220.61,221.59,218.96,2.31M,0.04%
11/22/2023,219.91,218,221.5,217.7,5.39M,0.75%
11/21/2023,218.27,216.5,219.38,216.07,5.36M,0.26%
11/20/2023,217.71,211.01,218.88,210.94,11.59M,4.65%
11/17/2023,208.04,208.36,209.42,206.82,3.57M,0.70%
11/16/2023,206.6,207.5,207.89,204.81,4.66M,-1.01%
11/15/2023,208.71,208.21,211.09,207.6,5.21M,0.60%
11/14/2023,207.47,207.25,208.56,205.98,7.28M,1.43%
11/13/2023,204.54,203.49,206.85,202.51,13.04M,4.01%
11/10/2023,196.65,195,197.26,194.21,4.79M,1.72%
11/09/2023,193.33,193.03,197.07,192.56,4.58M,0.78%
11/08/2023,191.83,191.45,192.44,190.13,2.98M,0.22%
11/07/2023,191.41,192.17,192.17,189.57,4.01M,-0.80%
11/06/2023,192.95,195.88,196.15,192.46,4.22M,-1.08%
11/03/2023,195.05,194,197.14,193.71,4.49M,1.58%
11/02/2023,192.01,190.9,192.94,190.34,4.31M,1.39%
11/01/2023,189.38,189.69,190.78,187.5,5.83M,1.37%
10/31/2023,186.82,183.38,187.29,181.32,5.04M,2.45%
10/30/2023,182.35,179.42,184.16,179.42,5.51M,1.48%
10/27/2023,179.69,180,182.33,179.01,4.61M,0.34%
10/26/2023,179.09,177.11,182.95,176.53,6.96M,0.77%
10/25/2023,177.73,186,187,176.25,13.81M,-2.54%
10/24/2023,182.36,183.21,184.35,181.8,4.65M,0.73%
10/23/2023,181.03,179.44,183.72,178.43,4.15M,0.55%
10/20/2023,180.04,182.68,183.39,179.85,4.52M,-1.50%
10/19/2023,182.79,185.5,187.05,182.54,4.04M,-1.56%
10/18/2023,185.69,187.22,190.25,185.05,6.27M,0.05%
10/17/2023,185.6,183.75,188.33,183.3,5.12M,0.36%
10/16/2023,184.93,185.91,186.23,182.5,4.70M,0.01%
10/13/2023,184.91,186.27,187.29,183.18,8.22M,-3.34%
10/12/2023,191.3,195.1,195.7,189.96,5.67M,-2.43%
